Date,Value,Anomaly
1895,52.1,-1.8
1896,52.3,-1.6
1897,52.3,-1.6
1898,53.8,-0.1
1899,52.7,-1.2
1900,52.9,-1.0
1901,51.2,-2.7
1902,51.7,-2.2
1903,51.7,-2.2
1904,49.2,-4.7
1905,51.5,-2.4
1906,53.1,-0.8
1907,51.0,-2.9
1908,53.1,-0.8
1909,51.8,-2.1
1910,51.6,-2.3
1911,52.8,-1.1
1912,52.1,-1.8
1913,54.3,0.4
1914,51.4,-2.5
1915,52.8,-1.1
1916,51.6,-2.3
1917,50.1,-3.8
1918,52.6,-1.3
1919,53.2,-0.7
1920,52.0,-1.9
1921,54.6,0.7
1922,53.2,-0.7
1923,52.4,-1.5
1924,51.4,-2.5
1925,53.0,-0.9
1926,50.7,-3.2
1927,52.9,-1.0
1928,53.0,-0.9
1929,53.3,-0.6
1930,53.7,-0.2
1931,55.0,1.1
1932,54.3,0.4
1933,53.6,-0.3
1934,52.4,-1.5
1935,52.5,-1.4
1936,52.8,-1.1
1937,53.9,0.0
1938,54.6,0.7
1939,54.1,0.2
1940,51.3,-2.6
1941,54.3,0.4
1942,53.5,-0.4
1943,53.2,-0.7
1944,54.1,0.2
1945,53.5,-0.4
1946,54.8,0.9
1947,53.2,-0.7
1948,53.5,-0.4
1949,56.3,2.4
1950,53.0,-0.9
1951,54.4,0.5
1952,55.2,1.3
1953,56.5,2.6
1954,54.3,0.4
1955,54.1,0.2
1956,52.9,-1.0
1957,54.9,1.0
1958,52.0,-1.9
1959,54.8,0.9
1960,53.4,-0.5
1961,54.5,0.6
1962,52.8,-1.1
1963,53.0,-0.9
1964,54.0,0.1
1965,53.6,-0.3
1966,54.5,0.6
1967,52.4,-1.5
1968,53.5,-0.4
1969,54.2,0.3
1970,53.7,-0.2
1971,54.6,0.7
1972,53.3,-0.6
1973,55.5,1.6
1974,54.1,0.2
1975,54.4,0.5
1976,52.9,-1.0
1977,53.5,-0.4
1978,52.2,-1.7
1979,54.3,0.4
1980,53.8,-0.1
1981,54.0,0.1
1982,53.6,-0.3
1983,54.8,0.9
1984,54.2,0.3
1985,54.6,0.7
1986,54.5,0.6
1987,54.7,0.8
1988,54.3,0.4
1989,53.5,-0.4
1990,56.7,2.8
1991,56.7,2.8
1992,53.5,-0.4
1993,55.0,1.1
1994,54.8,0.9
1995,55.0,1.1
1996,54.1,0.2
1997,54.7,0.8
1998,57.5,3.6
1999,56.9,3.0
2000,54.2,0.3
2001,56.6,2.7
2002,56.8,2.9
2003,53.8,-0.1
2004,54.9,1.0
2005,56.1,2.2
2006,57.2,3.3
2007,55.4,1.5
2008,55.7,1.8
2009,54.4,0.5
2010,57.1,3.2
2011,56.8,2.9
2012,57.7,3.8
2013,55.6,1.7
2014,54.4,0.5
2015,56.7,2.8
2016,57.2,3.3
2017,56.4,2.5
